3,[12.4608],[0.09650283105261125]
2,[12.62104],[0.04805587774151921]
1,[12.71136],[0.0]
2,[12.50088],[0.06611300802008557]
3,[12.35896],[0.09049618236502312]
4,[12.24672],[0.11661440297507382]
5,[12.16304],[0.1297881143015638]
1,[12.70928],[0.0]
2,[12.47784],[0.06723823550272602]
3,[12.34024],[0.09760284009169592]
4,[12.22392],[0.11416434944570701]
5,[12.18144],[0.1310855823701267]
1,"[12.54, 12.524, 12.5344, 12.4944, 12.5568, 12.5392, 12.564, 12.5192, 12.5512, 12.54]",[0.0]
1,"[12.528, 12.5424, 12.5272, 12.5128, 12.532, 12.5432, 12.552, 12.5488, 12.5656, 12.5456]",[0.0]
1,"[12.6884, 12.6736, 12.6912, 12.69, 12.6732, 12.688, 12.6764, 12.6816, 12.688, 12.6656]",[0.0]
1,"[12.6744, 12.6932, 12.6844, 12.6864, 12.6828, 12.6824, 12.6744, 12.696, 12.688, 12.6792]",[0.0]
1,"[12.6872, 12.7, 12.702, 12.6876, 12.6772, 12.6924, 12.692, 12.6868, 12.69, 12.6772]",[0.0]
2,"[12.4644, 12.4572, 12.4624, 12.3952, 12.2964, 12.4316, 12.3804, 12.4476, 12.4552, 12.4728]",[0.06606653912909788]
30,"[7.9888, 7.9456, 7.9144, 7.996, 7.9952, 7.9584, 7.928, 7.9352, 7.8864, 7.9312]",[0.6269879255823675]
10,"[10.404, 10.4104, 10.4536, 10.3648, 10.444, 10.444, 10.4256, 10.3784, 10.3952, 10.452]",[0.37902409096283834]
5,"[11.5264, 11.5904, 11.5512, 11.5576, 11.5016, 11.492, 11.5496, 11.5192, 11.5416, 11.5464]",[0.23718911679129207]
1,"[12.8064, 12.7952, 12.7872, 12.7936, 12.8112, 12.8096, 12.7984, 12.7968, 12.8032, 12.8048]",[0.0]
10,"[0.037333333333333336, 0.032, 0.034666666666666665, 0.029333333333333333, 0.034666666666666665, 0.034666666666666665, 0.032, 0.04, 0.032, 0.032]",[0.22727272727272727]
